央视频道,#genre#
内蒙卫视高清,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8
凤凰资讯蓝光,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰资讯蓝光,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰卫视蓝光,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰卫视蓝光,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
凤凰香港蓝光,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰香港蓝光,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
北京卫视蓝光,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京冬奥蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥蓝光,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
天津卫视蓝光,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
东方卫视蓝光,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225682/index.m3u8?
东方卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225718/index.m3u8?
湖南卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8
湖南卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
湖南卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南教育,http://pull.hnedutv.com/live/edutv.m3u8
浙江卫视蓝光,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
浙江卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
江苏卫视蓝光,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?
江苏教育,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225923/index.m3u8
江苏影视,http://223.110.243.134/PLTV/4/224/3221225937/index.m3u8
东南卫视蓝光,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
东南卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225696/index.m3u8?
东南卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
山东卫视蓝光,http://211.137.115.110:8080/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8
山东卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225642/index.m3u8?
山东卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225672/index.m3u8?
山东教育卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225708/index.m3u8?
山西卫视高清,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8
湖北卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225689/index.m3u8?
湖北卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视蓝光,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
安徽卫视蓝光,http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8
安徽卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225671/index.m3u8?
